"id","setting","identified","screen","latent","incidents","p_screen","p_ltbi","id_per_inc","screen_per_inc","latent_per_inc","screen_per_inc2","latent_per_inc2","total_cost","cost_per_id","cost_per_screen","cost_per_ltbi"
"Bootstrap001","commercial",18,17,2,2.5,1,0.1,9.5,8.5,0.8,9.5,0.95,4696.67323830202,260.926291016779,276.274896370707,2348.33661915101
"Bootstrap001","education",470.5,384.5,7,7,0.81,0.03,51.69,40.78,0.9,41.87,1.26,25499.4149941266,54.1964186910236,66.3183744970784,3642.77357058952
"Bootstrap001","factory/workplace",85,74.5,4.5,5.5,0.88,0.04,15.33,14.21,0.73,13.49,0.54,11295.7445505727,132.891112359679,151.620732222452,2510.16545568282
"Bootstrap001","hospital/clinic/care centre",24,18,0,2,0.8,0,10,9,0,8,0,3499.09721021816,145.795717092423,194.394289456565,Inf
"Bootstrap001","other",139.5,95,3,2,0.95,0.06,42.25,20.25,1.5,40.14,2.41,7219.42845275486,51.7521752885653,75.9939837132091,2406.47615091829
"Bootstrap002","commercial",16,16,1,2,0.85,0.09,13,11,0.33,11.05,0.99,3925.98158222171,245.373848888857,245.373848888857,3925.98158222171
"Bootstrap002","education",477.5,376.5,7,6.5,0.82,0.02,63.04,51.4,1.27,51.69,1.03,26749.2674555948,56.0194082839681,71.0471911171176,3821.32392222782
"Bootstrap002","factory/workplace",101,89.5,7,5,0.75,0.06,18.05,14.66,1.75,13.54,0.81,10405.6900743297,103.026634399304,116.26469356793,1486.52715347568
"Bootstrap002","hospital/clinic/care centre",48,45,1,3,0.81,0.01,13,12,0.33,10.53,0.11,5647.10447507031,117.648009897298,125.491210557118,5647.10447507031
"Bootstrap002","other",202,194,5,3,0.74,0.04,50.5,16.14,1,37.37,1.49,10336.8605341996,51.1725769019784,53.282786258761,2067.37210683993
"Bootstrap003","commercial",16,16,2,3,0.99,0.08,13,12,1,12.87,1.03,6149.72648013045,384.357905008153,384.357905008153,3074.86324006522
"Bootstrap003","education",672,557,14,6.5,0.83,0.03,62.67,51.12,0.95,52.02,1.56,27063.1389246914,40.2725281617431,48.5873230245805,1933.08135176367
"Bootstrap003","factory/workplace",132,113.5,10.5,5.5,0.82,0.06,23.7,20.6,2.01,19.43,1.17,13162.8447653329,99.7185209494919,115.972200575621,1253.60426336504
"Bootstrap003","hospital/clinic/care centre",83.5,55.5,1,2.5,0.8,0.01,23.38,18.25,0.38,18.7,0.19,5738.89894036134,68.7293286270819,103.403584511015,5738.89894036134
"Bootstrap003","other",112,66,2,2,0.84,0.05,26.57,16.64,0.73,22.32,1.12,5064.20639108162,45.2161284918001,76.730399864873,2532.10319554081
"Bootstrap004","commercial",48,37,1.5,3,0.78,0.04,16,12.33,0.5,12.48,0.5,6018.87571207471,125.393244001556,162.67231654256,4012.58380804981
"Bootstrap004","education",682.5,490.5,10,10,0.81,0.04,82.18,61.68,2,66.57,2.66,49638.1934282925,72.7299537410879,101.19917110763,4963.81934282925
"Bootstrap004","factory/workplace",131,125,10,4.5,0.81,0.06,29.05,26.12,1.96,23.53,1.41,11762.2568758413,89.7882204262697,94.0980550067306,1176.22568758413
"Bootstrap004","hospital/clinic/care centre",28.5,26.5,0,2,0.83,0,11.5,10.83,0,9.54,0,3650.34141672267,128.082154972725,137.748732706516,Inf
"Bootstrap004","other",74,32,3,2,0.43,0.04,37,15,1,15.91,0.64,4467.49946017313,60.3716143266639,139.60935813041,1489.16648672438
"Bootstrap005","commercial",22,21,0,2.5,0.95,0,11,10,0,10.45,0,4664.82108816482,212.03732218931,222.134337531658,Inf
"Bootstrap005","education",264,191.5,1,5.5,0.75,0.01,37.54,31.33,0.27,28.16,0.28,15973.8631088594,60.5070572305279,83.4144287668896,15973.8631088594
"Bootstrap005","factory/workplace",116,105,5.5,6,0.88,0.06,22.25,18.69,0.92,19.58,1.17,14376.527771483,123.935584236922,136.919312109362,2613.91414026963
"Bootstrap005","hospital/clinic/care centre",31,28,0.5,1.5,0.88,0.01,12.75,9.25,0.12,11.22,0.11,2870.45732137824,92.5953974638143,102.516332906366,5740.91464275649
"Bootstrap005","other",153,149,5,4,0.95,0.04,38.25,37.25,2,36.34,1.45,13442.4259173486,87.8589929238474,90.2176236063668,2688.48518346973
"Bootstrap006","commercial",14,12,1,2,0.92,0.08,13,11,1,11.96,0.96,4006.476552721,286.176896622929,333.873046060084,4006.476552721
"Bootstrap006","education",561.5,401,8.5,8,0.79,0.02,70.19,50.12,1.38,55.45,1.11,34519.4235282251,61.4771567733305,86.0833504444516,4061.10865037942
"Bootstrap006","factory/workplace",81,72,15.5,5,0.79,0.06,21.55,17.55,1.78,17.02,1.02,11329.1276792932,139.865773818435,157.34899554574,730.911463180209
"Bootstrap006","hospital/clinic/care centre",20,15,1,2.5,0.78,0.02,8,6.17,0.38,6.24,0.12,4175.05373038762,208.752686519381,278.336915359174,4175.05373038762
"Bootstrap006","other",57,15,2,1,0.89,0.04,13,11.6,1,11.57,0.46,1953.04820595494,34.2640036132445,130.203213730329,976.524102977469
"Bootstrap007","commercial",25,23,0,2,0.96,0,10.5,9.5,0,10.08,0,3694.72784496094,147.789113798438,160.640341085258,Inf
"Bootstrap007","education",484.5,314,6.5,7,0.81,0.02,53.18,31.7,0.64,43.08,0.86,25741.6674547493,53.1303765835898,81.9798326584371,3960.25653149989
"Bootstrap007","factory/workplace",87.5,71.5,3,5.5,0.83,0.03,13.83,11.83,0.57,11.48,0.34,10689.3661497113,122.164184568129,149.501624471486,3563.12204990375
"Bootstrap007","hospital/clinic/care centre",66,59,1,2,0.84,0.01,11,10.33,0.17,9.24,0.09,3631.26227829785,55.0191254287553,61.5468182762348,3631.26227829785
"Bootstrap007","other",104,99,1,3,0.9,0.03,34.67,15,0.5,31.2,0.94,9238.46869495924,88.8314297592234,93.3178656056488,9238.46869495924
"Bootstrap008","commercial",52.5,39,3,5.5,0.96,0.06,10.21,8.36,0.54,9.8,0.59,10293.0387640891,196.057881220744,263.924070874079,3431.01292136302
"Bootstrap008","education",391,308,6,9,0.79,0.03,41.78,28,0.67,33.01,0.99,28680.5845033324,73.3518785251469,93.1187808549754,4780.09741722207
"Bootstrap008","factory/workplace",115.5,101,10,6.5,0.86,0.07,20.75,18.12,1.96,17.84,1.25,15056.178870135,130.356527014156,149.071077922129,1505.6178870135
"Bootstrap008","hospital/clinic/care centre",68,55,0,2.5,0.78,0,20.25,16.5,0,15.8,0,5350.21349914732,78.6796102815783,97.2766090754059,Inf
"Bootstrap008","other",155,143,4.5,3,0.87,0.05,41.28,21.89,1.38,35.91,1.8,10115.2311306423,65.2595556815633,70.7358820324637,2247.82914014274
"Bootstrap009","commercial",48.5,40,2.5,2.5,0.83,0.11,13.75,11.38,0.75,11.41,1.26,4997.85615901565,103.048580598261,124.946403975391,1999.14246360626
"Bootstrap009","education",469.5,352.5,7,11,0.75,0.02,42.34,32.05,0.6,31.76,0.64,34186.9625696953,72.8156817245907,96.9842909778591,4883.85179567076
"Bootstrap009","factory/workplace",140,126.5,9.5,7,0.87,0.09,23.85,22.38,1.75,20.75,1.87,17498.6491507148,124.990351076534,138.329242298141,1841.9630684963
"Bootstrap009","hospital/clinic/care centre",37.5,27.5,0.5,2.5,0.86,0.01,18,17,0.17,15.48,0.15,5321.28596737169,141.900959129912,193.501307904425,10642.5719347434
"Bootstrap009","other",87.5,79.5,4.5,4,0.94,0.02,47.08,44.5,1.42,44.26,0.89,14866.8488165312,169.9068436175,187.004387629323,3303.74418145138
"Bootstrap010","commercial",18.5,18,0.5,3.5,0.88,0.02,13,10.83,0.25,11.44,0.23,6762.87584439746,365.560856453917,375.715324688748,13525.7516887949
"Bootstrap010","education",396,325,4,7,0.83,0.02,59.44,49.66,0.67,49.34,0.99,27955.1347955181,70.5937747361567,86.0157993708248,6988.78369887952
"Bootstrap010","factory/workplace",79,75,3,5,0.78,0.04,15.5,12.67,0.6,12.09,0.48,9927.57934112144,125.665561280018,132.367724548286,3309.19311370715
"Bootstrap010","hospital/clinic/care centre",32.5,26.5,0.5,2,0.89,0.01,9.38,8.25,0.12,8.35,0.08,3538.30260307853,108.870849325493,133.52085294636,7076.60520615706
"Bootstrap010","other",114,30,2,2,0.94,0.07,8,8,1,7.52,0.53,3511.3565975102,30.8013736623702,117.045219917007,1755.6782987551
"Bootstrap011","commercial",14,12,1,4,0.86,0.06,13,9.4,0.25,11.18,0.67,7793.8475910375,556.703399359821,649.487299253125,7793.8475910375
