"id","setting","identified","screen","latent","incidents","p_screen","p_ltbi","id_per_inc","screen_per_inc","latent_per_inc","screen_per_inc2","latent_per_inc2","total_cost"
"Bootstrap001","commercial",9,7,0,1,0.78,0,8,7,0,6.24,0,1796.04659894044
"Bootstrap001","education",349,298.5,8,11.5,0.83,0.02,30.88,25.96,0.88,25.63,0.51,33768.273124651
"Bootstrap001","factory/workplace",55.5,40.5,4.5,5,0.81,0.09,12.93,10.33,1.06,10.47,0.94,10404.287630811
"Bootstrap001","hospital/clinic/care centre",54,46,0.5,3.5,0.82,0.02,13,11,0.17,10.66,0.21,7163.61839837156
"Bootstrap001","other",135,107,4,3,0.83,0.06,39,26.13,1.3,32.37,1.94,10161.5042988373
"Bootstrap002","commercial",40,38,0,5,0.88,0,8.6,8,0,7.57,0,9320.56022759822
"Bootstrap002","education",429,314.5,6.5,8.5,0.81,0.03,48.55,33.74,0.65,39.33,1.18,31647.0517202034
"Bootstrap002","factory/workplace",96,83.5,4,7,0.87,0.06,15.59,12.18,0.63,13.56,0.81,15653.5028376673
"Bootstrap002","hospital/clinic/care centre",44,34,1,3,0.8,0.04,11.2,9.53,0.67,8.96,0.36,5893.94673216853
"Bootstrap002","other",72,15,1,4,0.33,0.04,8.16,3.75,0.25,2.69,0.11,6511.76574221426
"Bootstrap003","commercial",39,36,3,2,0.92,0.07,9.75,9,0.71,8.97,0.63,3951.17651615289
"Bootstrap003","education",637.5,486,7,7,0.8,0.03,58.55,44.03,0.68,46.84,1.41,29032.5312465863
"Bootstrap003","factory/workplace",86.5,67,7,6,0.79,0.09,18.88,15.75,2.43,14.92,1.34,14089.1777394756
"Bootstrap003","hospital/clinic/care centre",59,39,1.5,4,0.74,0.04,9.47,5.98,0.45,7.01,0.28,7426.75475297394
"Bootstrap003","other",114,106,4.5,4,0.96,0.04,22.5,21.33,1.04,21.6,0.86,10654.7214910578
"Bootstrap004","commercial",20,14,2,4,0.85,0.08,13,11,0.5,11.05,0.88,8424.73368024178
"Bootstrap004","education",722.5,560,11.5,9,0.82,0.03,70.71,58.19,0.93,57.98,1.74,42890.9790729165
"Bootstrap004","factory/workplace",75,74,10,4,0.88,0.08,15.2,14.8,2,13.38,1.07,8965.47686708338
"Bootstrap004","hospital/clinic/care centre",51,40,1,5,0.62,0.04,12.75,8,0.25,7.91,0.32,9582.65433806222
"Bootstrap004","other",49,49,0,2,0.79,0.03,15,9,0,11.85,0.36,4244.87730104889
"Bootstrap005","commercial",18,16,1,3,1,0.08,6.5,6,0.33,6.5,0.52,5502.37616955733
"Bootstrap005","education",339,291.5,4.5,8,0.85,0.01,33.08,28.42,0.57,28.12,0.28,24434.212602616
"Bootstrap005","factory/workplace",122,98.5,6,8,0.81,0.05,14.37,11.4,0.6,11.64,0.58,16982.0990848023
"Bootstrap005","hospital/clinic/care centre",44,25.5,0,3,0.78,0,14.67,6.8,0,11.44,0,6237.88783514965
"Bootstrap005","other",103.5,43.5,3,3,0.74,0.07,20.12,7.75,1.25,14.89,1.04,7000.91546515285
"Bootstrap006","commercial",21,14,0.5,2.5,0.88,0.03,8.33,8,0.08,7.33,0.22,4660.95028823751
"Bootstrap006","education",464,329.5,4,6,0.82,0.02,37.61,31.28,0.69,30.84,0.62,19361.6885691358
"Bootstrap006","factory/workplace",123.5,107.5,14,8.5,0.83,0.09,16.47,13.94,1.73,13.67,1.23,19297.6915813336
"Bootstrap006","hospital/clinic/care centre",24.5,11,1.5,2.5,0.71,0.12,16.5,5.67,0.9,11.71,1.41,5461.05965383111
"Bootstrap006","other",117,51,6,3,0.69,0.04,27.5,17.15,0.77,18.97,0.76,7642.78402453333
"Bootstrap007","commercial",26,22,0,7,0.79,0.02,13,11,0,10.27,0.21,14192.4020530631
"Bootstrap007","education",590,485,10.5,8,0.76,0.03,41.44,32.85,0.98,31.49,0.94,26347.2818806602
"Bootstrap007","factory/workplace",102.5,96.5,7,5,0.9,0.08,22.02,20.62,1.54,19.82,1.59,13088.1778202254
"Bootstrap007","hospital/clinic/care centre",32,14,1,1,0.88,0.04,12,8,0.25,10.56,0.42,2050.43950338844
"Bootstrap007","other",146,110.5,5,2.5,0.89,0.06,53,32,1.5,47.17,2.83,10567.4041501511
"Bootstrap008","commercial",18,15,1,4,0.92,0.07,8,8,0.5,7.36,0.52,7530.17046744178
"Bootstrap008","education",740.5,636,6.5,8.5,0.84,0.03,75.42,55.95,0.93,63.35,1.9,43002.686778108
"Bootstrap008","factory/workplace",129.5,120.5,7,5.5,0.89,0.08,18.02,16.73,1.02,16.04,1.28,13180.798775304
"Bootstrap008","hospital/clinic/care centre",62.5,49.5,1,3.5,0.84,0.03,15.18,9.33,0.32,12.75,0.38,7590.80658879972
"Bootstrap008","other",169.5,77,3,5,0.59,0.05,32.86,14.81,1.55,19.39,0.97,13010.8108045198
"Bootstrap009","commercial",25,23,0.5,2.5,0.97,0.09,9.9,8.3,0.5,9.6,0.86,5052.72237370311
"Bootstrap009","education",457,370,8,6.5,0.82,0.02,44.66,38.44,0.82,36.62,0.73,23055.1393124102
"Bootstrap009","factory/workplace",73.5,57,7.5,6.5,0.77,0.09,15.3,13.7,2,11.78,1.06,14053.9211283513
"Bootstrap009","hospital/clinic/care centre",61,39,1,4,0.74,0.02,15,7,0.5,11.1,0.22,8308.00695409778
"Bootstrap009","other",56,40,2.5,2,0.84,0.05,22,13.71,0.5,18.48,0.92,5022.40103685689
"Bootstrap010","commercial",34,29.5,2.5,3,0.9,0.08,10.5,9.5,0.44,9.45,0.76,6030.18351714133
"Bootstrap010","education",448.5,404,6,8.5,0.86,0.02,54.32,44.66,0.77,46.72,0.93,34816.3480624088
"Bootstrap010","factory/workplace",111,89,3.5,8,0.83,0.07,15.06,12.06,0.92,12.5,0.88,17487.6722676349
"Bootstrap010","hospital/clinic/care centre",19,4,0.5,2,0.56,0.04,9,2.5,0.17,5.04,0.2,3505.46357714489
"Bootstrap010","other",80.5,61,5.5,1,0.91,0.08,53,32,1.5,48.23,3.86,4341.07387702044
"Bootstrap011","commercial",39,33.5,1,3.5,0.9,0.06,13,10.56,0.58,11.7,0.7,7446.22945661155
"Bootstrap011","education",635,533,9.5,8.5,0.81,0.02,58.11,46.89,0.82,47.07,0.94,35095.9903025317
"Bootstrap011","factory/workplace",108.5,91,5.5,6.5,0.87,0.07,16.99,15.66,0.84,14.78,1.03,15048.8481193708
"Bootstrap011","hospital/clinic/care centre",55.5,25,0.5,2.5,0.76,0.01,14.35,10.33,0.17,10.91,0.11,5146.11812435911
"Bootstrap011","other",42.5,28.5,2,1.5,0.78,0.04,16.67,11.5,0.63,13,0.52,3293.16898151083
"Bootstrap012","commercial",34,30,2,3,0.92,0.08,8.67,8,0.57,7.98,0.64,5769.04091009365
"Bootstrap012","education",224.5,156.5,3,6.5,0.82,0.02,33.34,26.27,0.49,27.34,0.55,19714.3146014316
"Bootstrap012","factory/workplace",57,47.5,3.5,5.5,0.79,0.07,13.2,10.4,0.65,10.43,0.73,11370.4791854876
"Bootstrap012","hospital/clinic/care centre",42.5,23,2,3.5,0.61,0.06,14.45,6.05,0.62,8.81,0.53,6931.07637959396
"Bootstrap012","other",166,122,7,6,0.73,0.07,50,12.5,0.83,36.5,2.56,22031.3841770667
"Bootstrap013","commercial",24,24,0,3,0.86,0,8,8,0,6.88,0,5482.96862754133
"Bootstrap013","education",401.5,360.5,8,7.5,0.85,0.02,38.9,34.43,0.94,33.06,0.66,25080.7671732693
"Bootstrap013","factory/workplace",181,155.5,4,7.5,0.88,0.05,21.75,18.21,0.92,19.14,0.96,19089.0452008533
"Bootstrap013","hospital/clinic/care centre",30.5,24,2,2,0.92,0.03,10.62,9,0.75,9.77,0.29,3996.32024512057
"Bootstrap013","other",131.5,88.5,6,3,0.72,0.07,12.89,10.04,1.26,9.28,0.65,6013.60967630677
"Bootstrap014","commercial",18,15,1,4,0.84,0.07,11.33,9.5,0.25,9.52,0.67,8045.63950732402
"Bootstrap014","education",354,298.5,3,9.5,0.85,0.03,29.44,24,0.63,25.02,0.75,27691.834292996
"Bootstrap014","factory/workplace",59,49,1.5,4.5,0.81,0.03,13.75,11.67,0.33,11.14,0.33,9362.79642656
"Bootstrap014","hospital/clinic/care centre",41,25.5,1.5,3,0.53,0.04,11.23,5.02,0.29,5.95,0.24,5426.72579648341
"Bootstrap014","other",30.5,24,2,2.5,0.78,0.05,12.33,9.75,0.79,9.62,0.48,5022.29421815751
"Bootstrap015","commercial",26,22,0,4,0.92,0.02,6.6,6.6,0,6.07,0.12,7157.19921542258
"Bootstrap015","education",788,660,13.5,10,0.81,0.04,51.63,43.46,1.1,41.82,1.67,38877.446183606
"Bootstrap015","factory/workplace",161.5,130.5,12,6.5,0.86,0.09,18.07,16.03,1.08,15.54,1.4,15464.8462844114
"Bootstrap015","hospital/clinic/care centre",42.5,17,2,2.5,0.69,0.06,9.75,6.58,0.5,6.73,0.4,4627.90955559111
"Bootstrap015","other",114,34,4,4,0.64,0.07,38,10,0.67,24.32,1.7,11639.1454127218
"Bootstrap016","commercial",26,22,1,3,0.85,0.05,13,11,0.33,11.05,0.55,6259.18986018133
"Bootstrap016","education",405.5,324,6.5,7,0.8,0.03,44.19,35.44,0.82,35.35,1.06,24515.0095479137
"Bootstrap016","factory/workplace",116.5,99,10,6,0.79,0.08,18.19,16.57,2.03,14.37,1.15,13841.4368821111
"Bootstrap016","hospital/clinic/care centre",34,22,0,3,0.86,0,12.67,8,0,10.9,0,6134.10875623765
"Bootstrap016","other",69,24,3.5,3,0.58,0.07,14.88,6.5,0.7,8.63,0.6,5931.95356183381
"Bootstrap017","commercial",17.5,11.5,1,1.5,0.88,0.06,13,11.5,0.6,11.44,0.69,3171.07968945067
"Bootstrap017","education",581,403,6,11,0.84,0.02,44.14,36.64,0.57,37.08,0.74,39250.2405720582
"Bootstrap017","factory/workplace",60,41.5,4,5,0.72,0.11,12.12,8.53,0.9,8.73,0.96,9964.54759584142
"Bootstrap017","hospital/clinic/care centre",53,22,2,3,0.63,0.07,20.33,5.33,0.47,12.81,0.9,6670.03412687701
"Bootstrap017","other",111,51,8,2,0.72,0.07,36,16,0.5,25.92,1.81,6097.84813983289
"Bootstrap018","commercial",13,11,0,3,0.85,0,13,11,0,11.05,0,6160.25586018133
"Bootstrap018","education",908,726,12.5,11,0.83,0.02,71.17,55.62,0.83,59.07,1.18,52665.1841643167
"Bootstrap018","factory/workplace",92,69,2,5,0.86,0.07,15.25,12.88,1.38,13.12,0.92,11098.6593652622
"Bootstrap018","hospital/clinic/care centre",88,24,1,4,0.55,0.06,22,6,0.33,12.1,0.73,8738.79926539378
"Bootstrap018","other",91,49,2,4,0.61,0.07,36,9,0.5,21.96,1.54,11102.8395910258
"Bootstrap019","commercial",39,34.5,2,3.5,0.9,0.09,11.38,10,0.62,10.24,0.92,7217.55562077412
"Bootstrap019","education",902.5,766.5,11,10,0.83,0.03,67.68,57.34,1.11,56.17,1.69,46612.679497142
"Bootstrap019","factory/workplace",60.5,51,2,4.5,0.76,0.04,15.88,12.28,0.67,12.07,0.48,9647.93483017472
"Bootstrap019","hospital/clinic/care centre",31,14,1,2,0.4,0.03,10.33,9.67,0.33,4.13,0.12,3416.51696351801
"Bootstrap019","other",103,52.5,3,1.5,0.81,0.06,18.67,10.39,1.11,15.12,0.91,3497.18945888683
"Bootstrap020","commercial",30,22,1.5,3.5,0.88,0.09,10.1,8.5,0.28,8.89,0.8,6941.25837960676
"Bootstrap020","education",598.5,478.5,10.5,8.5,0.81,0.04,59.18,46.93,1.14,47.94,1.92,35996.7234651787
"Bootstrap020","factory/workplace",104.5,91.5,3,6.5,0.77,0.05,16.73,14.11,0.83,12.88,0.64,14280.1883788447
"Bootstrap020","hospital/clinic/care centre",24,7,0,2,0.4,0.04,10,4,0,4,0.16,3405.85796152889
"Bootstrap020","other",116,90,3,3,0.87,0.07,23.2,15,1,20.18,1.41,7887.89218868053
"Bootstrap021","commercial",24,17,2,4,0.85,0.08,12.67,10,0.29,10.77,0.86,8359.39126666354
"Bootstrap021","education",951,784,10,10.5,0.87,0.02,61.07,54.32,0.72,53.13,1.06,46695.2210622942
"Bootstrap021","factory/workplace",35.5,30,2,2.5,0.84,0.11,14,13,1.5,11.76,1.29,5424.48785063111
"Bootstrap021","hospital/clinic/care centre",24,21,2,3,0.92,0.04,11,5.33,0.67,10.12,0.4,6070.64246254933
"Bootstrap021","other",62.5,17.5,1.5,2.5,0.72,0.07,22,11.23,1,15.84,1.11,5980.50819047111
"Bootstrap022","commercial",16,16,0,2,0.85,0,13,8.8,0,11.05,0,4106.83724012089
"Bootstrap022","education",803,614,9,11,0.88,0.03,67.45,50.83,1.07,59.36,1.78,53056.3816499513
"Bootstrap022","factory/workplace",92.5,71.5,3,3.5,0.81,0.09,18,14.88,1,14.58,1.31,8141.41657245156
"Bootstrap022","hospital/clinic/care centre",47,20.5,2,3.5,0.63,0.11,13.3,7.84,0.7,8.38,0.92,6922.64593996515
"Bootstrap022","other",72,53,1,3,0.78,0.07,20.33,14.5,0.5,15.86,1.11,7159.72757327701
"Bootstrap023","commercial",19,17.5,0,2.5,0.85,0,10.5,9,0,8.92,0,4845.78715975111
"Bootstrap023","education",661.5,518,10,7.5,0.81,0.02,94.06,72.56,1.12,76.19,1.52,43082.6966926677
"Bootstrap023","factory/workplace",94.5,79,12,7.5,0.8,0.1,14.79,13.79,2,11.83,1.18,16273.3964726229
"Bootstrap023","hospital/clinic/care centre",24,19,2,2,0.77,0.05,9,6.33,0.67,6.93,0.35,3710.14583762489
"Bootstrap023","other",49,49,2,2,0.96,0.06,14.5,9.56,0.69,13.92,0.84,4502.95235845689
"Bootstrap024","commercial",26,22,2,3,0.85,0.08,13,11,0.4,11.05,0.88,6318.55026018134
"Bootstrap024","education",491.5,387,4,8,0.82,0.02,58.04,44.64,0.58,47.59,0.95,33239.5612743498
"Bootstrap024","factory/workplace",101,85.5,11.5,5.5,0.81,0.05,17.67,14.83,1.53,14.31,0.72,12518.5506460624
"Bootstrap024","hospital/clinic/care centre",41,28,2,3.5,0.64,0.02,14.17,8.25,0.38,9.07,0.18,6898.6883094986
"Bootstrap024","other",74,51,6,2,0.81,0.06,27.5,16,0.58,22.28,1.34,5491.70485560889
"Bootstrap025","commercial",26,24,2,5,0.9,0.08,13,11,0.75,11.7,0.94,10709.4226523022
"Bootstrap025","education",377,308.5,3,8.5,0.82,0.01,34.6,27.67,0.35,28.37,0.28,26117.483492389
"Bootstrap025","factory/workplace",140,109.5,9,5.5,0.79,0.08,25.44,20.47,1.18,20.1,1.61,14554.1621650179
"Bootstrap025","hospital/clinic/care centre",37.5,35,1,3,0.8,0.04,11.15,9.83,0.45,8.92,0.36,5887.42574892373
"Bootstrap025","other",72,16,3,4,0.69,0.07,22.44,15.44,2,15.48,1.08,9497.4680092581
