"","year","setting","mean","median","L95CI","U95CI","combined"
"1",2013,"commercial",1239.64178586656,1121.29226894827,659.151357797698,2304.17598447756,"1121.29 [659.15, 2304.18]"
"2",2013,"education",4295.23269364791,4144.44533946462,3253.34257501025,6883.70999945565,"4144.45 [3253.34, 6883.71]"
"3",2013,"factory/workplace",3228.37337280558,3217.93612368029,2238.22232570632,4371.31274459406,"3217.94 [2238.22, 4371.31]"
"4",2013,"hospital/clinic/care centre",Inf,5643.53109502019,2588.87598496156,Inf,"5643.53 [2588.88, Inf]"
"5",2013,"other",658.045245711521,659.721700829334,478.113938799311,863.45342523627,"659.72 [478.11, 863.45]"
"6",2013,"total",2477.94469517601,2446.49726978802,1817.95540277804,3285.18595218886,"2446.5 [1817.96, 3285.19]"
"7",2014,"commercial",3386.92636108105,3459.16464853567,1808.49068121529,4932.94118206898,"3459.16 [1808.49, 4932.94]"
"8",2014,"education",687.108187031081,637.14978585333,414.702375096188,1278.55241163368,"637.15 [414.7, 1278.55]"
"9",2014,"factory/workplace",8250.45722346268,7667.1817030141,4560.77690356837,16062.5001033147,"7667.18 [4560.78, 16062.5]"
"10",2014,"hospital/clinic/care centre",Inf,2051.06605373322,966.549675087488,Inf,"2051.07 [966.55, Inf]"
"11",2014,"other",3932.02035139788,3674.95168073093,2348.03856489647,7597.36060069269,"3674.95 [2348.04, 7597.36]"
"12",2014,"total",997.36970573489,950.088941999482,650.806216306733,1646.31446058946,"950.09 [650.81, 1646.31]"
"13",2015,"commercial",3132.41173934962,2555.53710111447,1120.83572537493,5953.56457093927,"2555.54 [1120.84, 5953.56]"
"14",2015,"education",Inf,1631.22535606172,332.242616988743,7264.51901073052,"1631.23 [332.24, 7264.52]"
"15",2015,"factory/workplace",Inf,3862.5035190408,2041.94680999922,13252.2079827714,"3862.5 [2041.95, 13252.21]"
"16",2015,"hospital/clinic/care centre",Inf,4758.92339993447,2447.18257145665,93347.4530815664,"4758.92 [2447.18, 93347.45]"
"17",2015,"other",Inf,Inf,Inf,Inf,"Inf [Inf, Inf]"
"18",2015,"total",2357.1262058733,1799.94879403449,616.636389847885,6119.80623289246,"1799.95 [616.64, 6119.81]"
"19",2016,"commercial",Inf,Inf,Inf,Inf,"Inf [Inf, Inf]"
"20",2016,"education",3832.48231411201,3374.8343191388,1734.60336227024,7528.99427295689,"3374.83 [1734.6, 7528.99]"
"21",2016,"factory/workplace",1124.99415266325,1076.05632016952,727.682628702974,2009.30762889688,"1076.06 [727.68, 2009.31]"
"22",2016,"hospital/clinic/care centre",2219.72205530038,2196.1140224985,1458.77732487642,3189.23563313715,"2196.11 [1458.78, 3189.24]"
"23",2016,"other",1693.43279422417,1637.14704517388,861.726458050203,2626.71906633614,"1637.15 [861.73, 2626.72]"
"24",2016,"total",1678.69535207346,1630.96965076725,1227.92641455089,2248.67514801102,"1630.97 [1227.93, 2248.68]"
"25",2017,"commercial",9232.12483207023,6791.00838846404,3240.92991357386,23923.0711044507,"6791.01 [3240.93, 23923.07]"
"26",2017,"education",6910.49288052469,6808.70674301453,5009.34208749061,9664.57402952382,"6808.71 [5009.34, 9664.57]"
"27",2017,"factory/workplace",1435.36817194487,1153.75943834671,528.29505566974,3960.28022322848,"1153.76 [528.3, 3960.28]"
"28",2017,"hospital/clinic/care centre",Inf,7219.11108566249,3669.81173736467,32610.2296991028,"7219.11 [3669.81, 32610.23]"
"29",2017,"other",640.62935272443,618.57093221841,345.668274223768,992.801238290848,"618.57 [345.67, 992.8]"
"30",2017,"total",2141.48184873767,2058.69549524078,1421.71737841524,3274.97841480427,"2058.7 [1421.72, 3274.98]"
"31",2018,"commercial",Inf,Inf,Inf,Inf,"Inf [Inf, Inf]"
"32",2018,"education",8912.50783739075,5877.90438175265,2553.87342073634,41514.0277249667,"5877.9 [2553.87, 41514.03]"
"33",2018,"factory/workplace",769.96575351922,616.375448582719,380.042310093569,2223.36307087669,"616.38 [380.04, 2223.36]"
"34",2018,"hospital/clinic/care centre",Inf,Inf,Inf,Inf,"Inf [Inf, Inf]"
"35",2018,"other",9136.51951178624,5564.36314669433,2454.52103964383,21050.3415744576,"5564.36 [2454.52, 21050.34]"
"36",2018,"total",2340.35015867832,2097.09164949938,1390.0531563591,4713.91742338471,"2097.09 [1390.05, 4713.92]"
